"city,State",percentHouseholdsWithIntAcc,numberHouseholdsW/oIntAcc
"Cleveland, Ohio",63.9,"59,403"
"Miami Gardens, Florida",63.6,"11,467"
"Miami, Florida",63.2,"56,886"
"Jackson, Mississippi",61.2,"24,912"
"Brownsville, Texas",61.1,"19,340"
"Birmingham, Alabama",61,"34,626"
"Hialeah, Florida",60.7,"27,648"
"Detroit, Michigan",60.1,"101,923"
"Laredo, Texas",59.8,"26,376"
"El Monte, California",58,"13,190"
"Hartford, Connecticut",57.7,"19,539"
"Santa Maria, California",56.1,"11,942"
